D0,-31.838459055386636,17.72111903583508
D1,-28.07690162302451,17.59360861439908
D2,-24.442854612098394,17.402342982245074
D3,-20.55378675830027,18.932468039477122
D4,-17.04725016881015,20.781369150299184
D5,-18.761232819410115,13.661111417143609
D6,-13.578477379316782,20.278440220148287
D7,-10.416708254137937,19.76128577881115
D8,-8.695317564751882,19.18748888234913
D9,-15.183471327881106,14.268499210457863
D10,-6.957412235388231,21.77321556052279
D11,-5.239622940904276,24.001698969583053
D12,-7.0835891814125596,16.436127456081863
D13,-5.544396436415978,14.261181185978
D14,-3.938282267723892,12.052774204026385
D15,-2.1922860715156745,20.143817043119164
D16,0.9317192536664294,21.355166046761205
D17,4.119479789566533,23.01280152542926
D19,-0.8584789094205139,17.60196740016911
D22,5.850103286179774,21.569371858299043
D23,7.028547731567782,19.92979697775921
D24,7.714433506789147,17.42431638519804
D25,9.862611207414808,19.952900553642834
D26,12.767059813457209,19.98103369277608
D27,15.175185419250091,20.08350712280982
D28,17.224654019924888,19.92979697775921
D29,20.14514677588647,20.852057848062863
T0,Q1,D0
T1,D0,D1
T2,D1,M22
T3,D1,D2
T4,D2,D3
T5,D3,M21
T6,D3,M23
T7,D3,D4
T8,D4,D6
T10,D6,M91
T11,D5,D9
T12,D9,M61
T14,D6,M57
T15,D6,D7
T16,D7,D8
T17,D8,D10
T18,D10,M27
T19,D10,M52
T20,D10,D11
T21,D11,D15
T22,D15,D19
T24,D19,M24
T27,D19,M25
T28,D16,M58
T29,D8,D12
T30,D12,M26
T31,D12,D13
T32,D13,D14
T33,D14,M93
T34,D14,M76
T35,D12,M94
T36,D15,D16
T37,D16,D17
T38,D16,M68
T39,D17,D22
T40,D22,D23
T41,D22,M9
T42,D23,D24
T43,D24,M8
T44,D23,D25
T45,D25,D26
T46,D26,D27
T47,D27,D28
T48,D28,D29
T49,D29,M56
T50,D27,M78
T51,D27,M11
T52,D25,M10
D30,-2.820992662387802,26.052141695987263
T53,D11,D30
T54,D30,M69
D31,-10.56632646114089,9.749422452206773
D32,-9.682963668360241,7.78193259555897
D33,-9.08067085510071,6.0152070099976775
D34,-7.193486706887512,5.573525613607353
D35,-5.50706682976082,5.29245563408624
D36,-4.70267,4.26903
D37,-2.48882,1.31173
D38,-0.5753644496931898,-0.8264357559536091
D39,0.5124346013832337,2.5009495767507453
D40,1.3122868448217808,5.284435383916888
D41,1.4722572935094895,7.268068947644483
D42,3.1359499598616676,9.699619767697666
D43,4.319731280150716,12.419117395388724
D44,8.275384042089911,14.66087984547185
D45,11.130001021601233,14.331500963220542
D46,13.948020347529075,13.819133813051845
D47,17.497992745126485,13.965524427385759
D48,14.31399688336386,9.939782533203125
D49,16.363465484038656,8.585669350614422
D50,18.1567505096291,7.158360860858762
D51,25.110304690490015,6.9387749393578915
D52,8.60476292434122,6.060431253354405
D53,17.571188052293447,3.498595502510911
D54,16.03408660178735,1.2661386339187235
D55,14.936156994283,-0.6003416988386796
D56,14.570180458448213,-2.905993874597824
D57,14.277399229780386,-5.577622586191753
D58,16.692844366289965,-5.17504839677349
D59,19.254680117133457,-4.662681246604791
D60,22.036101789477822,-4.0405211356856565
D61,16.949027941374315,-0.19776750942041588
D62,19.401070731467374,-0.7467323131725934
D63,21.779918214393476,-1.222501809757814
D64,23.939179775818708,-1.222501809757814
D65,25.915453069326546,-1.1127088490073795
D66,27.598945134166556,0.021818412080454763
T55,D2,D5
T228,D124,D74
T56,D31,D32
T57,D32,M47
T58,D32,M46
T59,D32,D33
T60,D33,D34
T61,D34,M44
T62,D34,D35
T63,D35,D36
T64,D36,D134
T65,D36,M70
T66,D37,M85
T67,D37,D38
T68,D38,D39
T69,D39,M83
T70,D39,D40
T71,D40,D41
T72,D41,D42
T73,D42,M90
T75,D42,D43
T76,D24,D44
T77,D44,D45
T78,D45,M2
T79,D43,M0
T80,D45,D46
T81,D46,D47
T82,D47,M71
T84,D127,M40
T85,D46,D48
T86,D48,D49
T87,D49,M3
T88,D49,D50
T89,D50,D51
T90,D51,M42
T91,D48,D125
T92,D52,M65
T93,D52,M63
T94,D50,D53
T95,D53,D54
T96,D54,M88
T97,D54,D55
T98,D55,D56
T99,D56,M80
T100,D56,M17
T101,D72,D57
T102,D55,D61
T103,D61,D62
T104,D59,D63
T105,D63,D64
T106,D64,D65
T107,D65,D66
T108,D66,M43
T109,D64,M41
T110,D62,M62
T111,D57,D58
T112,D58,M19
T113,D58,D59
T114,D59,D60
T115,D60,M79
D67,0.5403392281802954,-2.901796627211235
D68,1.472369800500795,-4.991804577263265
D69,2.58137,-6.19618
D70,6.1177399662471705,-9.370969380119302
D71,7.7409,-8.82263
