D0,28.5673,1.2997
D1,28.3542,4.80994
D2,28.309,8.44932
D3,27.8044,12.7224
D4,22.1249,15.0629
D5,22.1835,22.7351
D6,22.111807050541717,18.555074266627607
D7,19.382323880024426,18.377064494637345
D8,16.77151389083397,18.19905472264709
D9,15.110089352258225,18.317727903973932
D10,13.270655041692223,18.317727903973932
D11,11.075201187145705,18.377064494637345
D12,9.41377664856996,18.19905472264709
D13,8.939083923262604,16.596966774734767
D14,8.167708244638153,14.994878826822443
D15,6.980976431369761,13.45212746957354
D16,5.972254390091631,12.146722474978311
D17,5.024836003204201,10.614401764112902
D18,3.4572831230198693,8.162588284850226
D19,10.23727788618668,13.785297936402568
D20,19.8408,24.7264
D21,16.949523662824227,27.09954332216
D22,9.235766876579703,27.692909228794193
D23,6.3282739340721506,27.692909228794193
D25,4.71916,20.9236
D26,-2.46579,23.8179
D27,-4.04263,22.48
D28,-5.598380789275154,21.16588425581806
D29,-5.4203710172848965,19.504459717242316
D30,-5.3016978359580555,17.665025406676314
D31,-4.4116489760067665,15.588244733456637
D32,-8.327863959792445,21.343894027808318
D33,-11.2353569023,22.11526970643277
D34,-11.532039855617104,19.385786535915475
D35,-11.828722808934199,17.249669272032374
D36,-12.718771668885491,14.93554223615902
D37,-13.6681571195002,12.740088381612498
D38,-15.9443,9.9413
D39,-13.60882052883678,22.471289250413285
D40,-16.111,22.4625
D41,-9.13439,10.222
D42,-20.78854799911053,16.478293593407923
D43,-22.98400185365705,15.232225189476114
D44,-25.12011911754015,13.867483604217469
D45,-28.502304785355054,12.858761562939339
D46,24.900626811722425,12.443405428295407
D47,22.40849000385881,12.02804929365147
D48,19.79768001466835,11.553356568344114
D49,17.424216388131576,11.197337024363598
D50,16.06772305575316,9.781980889719662
D51,13.552767565524192,7.375444556451605
D52,32.7198,-8.31982
D53,30.656276106074102,-2.568752009549705
D67,1.5682143397177413,-0.2630618951612931
D68,-0.37676081089425395,-0.3139615643397633
D69,-1.8601755774797368,-1.1446738336276354
D70,-3.8182830693725798,-1.916049512252087
D71,-4.648995338660452,-3.5774740508278313
D72,-2.4535414841139307,1.1101166115823027
D73,-3.1655805720749655,3.1868972848019794
D74,-3.8182830693725798,5.204341367358239
D75,-3.8776196600359967,6.86576590593398
D76,-7.758408108459001,7.078201506938756
D77,-8.387200550455873,8.230507491192629
D78,-9.336586001070586,5.916380455319274
D79,35.2083,-7.08894
D80,29.588217474132552,-9.92648925181371
D81,26.74006112228842,-11.64725038105287
D82,22.823846138502738,-13.130665147638357
D83,19.085640926707317,-13.130665147638357
D84,20.984411827936736,-19.182997395307137
D85,12.795962316384859,-19.242333985970554
D86,11.312547549799376,-17.69958262872165
D87,10.363162099184663,-16.51285081545326
D88,9.591786420560211,-15.207445820858034
D89,8.464391197955244,-14.198723779579904
D90,7.218322794023436,-12.952655375648096
D91,5.912917799428207,-11.52857719972603
D92,4.202182081653227,-9.87704415322581
D93,10.584018779444067,-19.276643259615923
D94,8.817964544212579,-19.276643259615923
D95,6.883714667530473,-19.13648022507374
D96,4.9041957581500775,-19.004987623316875
D97,1.0473173650278156,-19.53901693928765
D98,-1.4448194428358008,-19.895036483268168
D99,-4.530322157333611,-20.36972920857552
D100,-6.369756467899613,-18.055602172702166
D101,-7.971844415811937,-16.39417763412642
D102,-10.52331781433897,-16.097494680809323
D103,-13.786830300827038,-16.39417763412642
D104,-17.109679377978527,-17.106216722087453
D105,-19.72048936716898,-17.699582628721647
D106,-23.51803116962782,-17.758919219385067
D107,-14.795552342105168,-13.842704235599385
D108,-16.160293927363814,-11.231894246408931
D109,-13.6681571195002,-10.697864930438158
D110,-17.347025740632205,-8.561747666555057
D111,-20.96655777110079,-8.858430619872156
D112,-23.81471412294492,-9.214450163852671
D113,-26.366187521471957,-10.757201521101578
D114,-17.525035512622463,-6.366293812008539
D115,-17.6437086939493,-3.5774740508278313
D116,-14.163268137885456,-2.447257083724482
D117,-19.186460051198207,-1.3820201962813101
D118,-19.964,7.66089
D119,-23.0174,6.81056
D120,-25.8776,5.80564
D121,-29.5881,4.76206
D122,-31.2888,2.55895
D123,17.127533434814488,-22.387173291131795
D124,14.991416170931387,-24.345280783024634
D125,13.329991632355643,-26.303388274917477
D126,11.668567093779899,-27.96481281349322
D127,7.811688700657633,-27.07476395354193
D128,5.082205530140342,-26.362724865580894
D129,2.4120589502864647,-26.184715093590636
D130,0.038595323749689214,-26.00670532160038
D131,-3.7589464787091558,-26.184715093590636
D132,-8.31484,-21.1404
D133,-11.2702,-24.0541
T1,Q1,D53
T2,D53,D0
T3,D0,D1
T4,D1,M42
T5,D1,D2
T6,D2,D3
T7,D47,D4
T8,D46,M40
T9,D46,D47
T10,D47,D48
T11,D48,M71
T12,D48,D49
T13,D49,D50
T14,D50,M2
T15,D50,D51
T16,D21,D135
T17,D135,M9
T18,D135,D22
T19,D22,D23
T20,D23,D23
T21,D23,M69
T22,D154,D25
T23,D25,D155
T24,D25,M68
T25,D155,D26
T26,D26,D27
T27,D27,M52
T28,D27,D28
T29,D28,D29
T30,D29,D30
T31,D30,D30
T32,D30,D31
T33,D31,M94
T34,D31,M26
T35,D29,M27
T36,D28,D32
T37,D32,M91
T38,D32,D33
T39,D33,D34
T40,D34,D34
T41,D34,M57
T42,D34,M21
T43,D34,D35
T44,D35,D36
T45,D36,M61
T46,D41,D37
T48,D38,D38
T49,D38,M20
T50,D33,D39
D135,12.601771122609907,27.388235872138388
T47,D37,D38
T51,D39,D40
T52,D40,M23
T53,D77,D41
T54,D37,D42
T55,D42,D43
T56,D43,M84
T57,D43,M22
T58,D43,D44
T59,D44,D45
T60,D45,M53
T62,D79,D52
T63,D52,M43
T64,D52,D80
T88,D67,M13
T89,D67,M83
T90,D67,D68
T91,D68,D69
T92,D69,M12
T93,D69,M85
T94,D69,D70
T95,D70,D71
T96,D71,M36
T97,D68,D72
T98,D72,D73
T99,D73,M70
T100,D73,M44
T101,D73,D74
T102,D74,D75
T103,D75,M93
T104,D74,D76
T105,D76,D77
T106,D77,D77
T107,D77,M46
T108,D77,D77
T109,D77,M47
T110,D76,D78
T111,D78,M45
T112,Q1,D79
T114,D81,D82
T115,D80,D81
T116,D81,M89
T117,D81,D81
T118,D81,M79
T119,D82,D83
T120,D83,M92
T121,D83,M19
T122,D82,D84
T123,D84,D85
T124,D85,D86
T125,D86,M32
T126,D86,D87
T127,D87,D88
T128,D88,M18
T129,D88,D89
T130,D89,D90
T131,D90,M82
T132,D90,D91
T133,D91,D92
T134,D92,M16
T135,D92,M14
T136,D85,D93
T137,D93,D93
T138,D93,M33
T139,D93,D94
T140,D94,D95
T141,D95,M51
T142,D95,M73
T143,D95,D96
T144,D96,D97
T145,D97,D98
T146,D98,M81
T147,D98,M48
T148,D98,D99
T149,D99,D100
T150,D100,M4
T151,D100,D101
T152,D101,D102
T153,D102,D103
T154,D103,D107
T156,D107,D107
T158,D103,D104
T159,D104,M6
T160,D104,D105
T161,D105,D106
T162,D106,M86
T163,D107,D109
T164,D109,M67
T165,D109,M39
T166,D107,D108
T167,D108,M66
T168,D108,D108
T169,D108,D110
T170,D102,M74
T171,D104,M87
T172,D110,D111
T173,D111,M29
T174,D111,D112
T175,D112,D113
T176,D113,M59
T177,D110,D114
T178,D114,M28
T179,D114,D114
T180,D114,D115
T181,D115,D116
T182,D116,M38
