D0,28.5673,1.2997
T183,D116,M72
T184,D115,D117
T185,D117,M60
T186,D156,D118
T187,D118,D119
T188,D118,M49
T189,D119,D120
T190,D120,M30
T191,D120,D120
T192,D120,D121
T193,D121,D122
T194,D122,M31
T195,D38,M77
T196,D84,D123
T197,D123,M35
T198,D123,D124
T199,D124,D125
T200,D125,M34
T201,D125,D125
T202,D125,D126
T203,D126,D127
T204,D127,M54
T205,D127,D128
T206,D128,D129
T207,D129,M75
T208,D129,D130
T209,D130,D131
T210,D131,M50
T211,D131,M5
T212,D99,D132
T213,D132,D133
T214,D133,M7
T216,D4,M56
T217,D4,D6
T218,D6,D5
T219,D5,D20
T220,D20,M11
T221,D20,D21
T222,D6,D7
T223,D7,M78
T224,D7,D8
T225,D8,D9
T226,D9,M10
T227,D9,D10
T228,D10,D11
T229,D11,M8
T230,D11,D12
T231,D12,D13
T232,D13,M58
T233,D14,D19
T234,D19,M0
T235,D19,D19
T236,D13,D14
T237,D14,D15
T238,D15,M25
T239,D15,D16
T240,D16,D17
T241,D17,M90
T242,D17,D17
T243,D17,M24
T244,D17,D18
T245,D18,D18
T246,D18,M65
T247,D18,M76
D136,3.047829787493498,-17.95631536810614
D137,1.178562357732833,-16.341948042403743
D138,-0.6482217213514545,-14.77006406737773
D139,-2.050172293671956,-12.858313286940685
D140,-3.3671561646396952,-11.201462610561912
D141,-5.533807049135014,-11.074012558532775
T249,D96,D136
T250,D136,D137
T251,D137,M95
T252,D137,D138
T253,D138,D139
T254,D139,M15
T255,D139,M55
T256,D139,D140
T257,D140,D141
T258,D141,M64
T259,D141,D141
T260,D141,M37
T261,D51,M1
T262,D51,M3
T263,M3,M3
D142,27.840134133755516,-3.133470725286166
D143,25.479121919915766,-3.738858472424564
T264,D53,D53
T265,D53,D142
T266,D142,M41
T267,D142,D143
D144,22.452183184223784,-5.312866614984394
T268,D143,D144
T269,D144,M62
D145,19.546321997959478,-6.886874757544227
T270,D144,D145
D146,17.124771009405887,-7.371184955254947
T271,D145,D146
T272,D146,M80
D147,13.371366977147822,-7.673878828824144
T273,D146,D147
D148,11.313048636877273,-6.705258433402708
T274,D147,D148
D149,9.31526907132056,-5.191789065556716
T275,D148,D149
T276,D148,M17
D150,7.4385670551915295,-4.344246219562958
T277,D149,D150
D151,5.682942588490177,-3.133470725286166
T278,D150,D151
T279,D150,M88
D152,4.809861593102034,-1.6606947889372936
T280,D151,D152
T281,D152,M63
D153,4.084830925639446,-0.23329066237032592
T282,D152,D153
T283,D153,D67
T284,D3,D46
D154,8.54635,20.9509
D155,0.78344,20.9509
T285,D12,D154
D156,-18.2247,8.24065
T286,D38,D156
R0,152,0
