D0,-9.63898,29.9543
D1,-6.04213,27.6918
D2,-11.6361,30.9943
D3,-12.31073906625868,28.426234001403444
D4,-14.300111018538285,25.75315444102094
D5,-16.022056935565413,23.383099212795642
D6,-17.622111003213554,21.346948625097532
D7,-19.085765032686613,19.33240168110603
D8,-21.50390205041018,16.502526317056706
D9,-23.889633602573824,13.468050895744753
D10,-25.177386673401383,11.446408496842743
D11,-26.845323481161994,8.735353173179742
D12,-28.506164834012097,6.200198808162247
D13,-21.63554290395927,6.519378961676279
D14,-29.663978763624954,2.6960532660981578
D15,-27.58430360953857,0.1590962079882683
D16,-26.183239558359865,-2.0658771322761
D17,-27.614170843297945,-4.949127047641811
D18,-25.62091026403798,-6.940483953051377
D19,-24.015563434571725,-8.468948913644251
D20,-21.600582246074566,-10.040523776282331
D21,-19.21706877526645,-11.478402519374157
D22,-18.24101631200459,-13.147219267209682
D23,-17.259954197204433,-15.36880351950633
D24,-15.213102768411023,-9.311923614636
D25,-18.827920078267727,-16.94545125035547
D26,-14.197795178375575,-16.000309176023112
D27,-11.79840976045128,-16.56876711123546
D28,-10.929172621913304,-18.802301602921666
D29,-10.916318988283612,26.132166594332414
D30,-11.633662870358808,23.63327218120186
D31,-12.132287065567466,21.35984182757145
D32,-13.139940686789547,18.083481522372015
D33,-13.782033658413244,15.310272286115492
D34,-15.9959193457587,14.22814189406944
D35,-14.946067457608839,11.214051026000593
D36,-13.899876427630138,9.026276813626447
D37,-12.827573922680125,6.874441963319652
D38,-11.797955152431063,5.192902334350854
D39,-11.010372701411777,4.236316975653942
D40,-10.444882123575837,3.2763594306402357
D41,-9.598043678125968,1.3432442671999851
D42,-11.596581864921683,0.7086698078374187
D43,-13.748705387082843,0.24059208539876664
D44,-15.959796231820224,0.14481938519209958
D45,-8.622091217091349,2.6109498266533016
D46,-6.939685572559462,1.8278942493682746
D47,-7.060126388465625,0.9819218194814923
D48,-7.363347529170981,-0.11562614487674283
D49,-8.754577418992898,-0.36777902305692667
D52,-1.9922697010838615,30.630557085757324
D53,-1.954598307890329,26.979096915717832
D54,-2.1558797194641457,24.434723925278256
D55,-1.9000659831127997,22.21717737976163
D56,-1.164129138327418,19.9802637319073
D57,-0.5197267918688127,17.91967470807292
D58,2.2913506335000413,20.05050230085138
D59,-0.2378015805461553,15.73806752462365
D60,0.06686291943101619,13.81449157642507
D61,-1.6082210087585427,12.944913842320688
D62,0.5315684555528666,11.884459927447256
D63,0.5195230695574811,9.751703507623809
D64,1.6799878865174693,7.645635906480406
D65,1.3742605750584045,4.957505467771423
D66,0.9214036290131351,2.5959128021310347
D68,0.9360781679994057,-1.2960387145410457
D69,4.701392352946447,0.7489731624956044
D71,0.8187454628617277,-4.028539037309586
D72,3.13154,26.0229
D73,5.49028,25.0953
D74,7.79179522571031,24.187669530483138
D75,10.028872418920319,22.845423214557133
D76,11.874461103318577,22.11837312676388
D77,14.670807594831093,20.887980670498372
D78,16.963811717871355,20.49649216168662
D79,18.7949,20.1859
D81,19.648304349723368,18.818684266779115
D82,21.094100900250993,17.264975509287442
D83,16.56048909624621,15.597108418267965
D84,14.812711266166161,14.638370203859177
D85,13.12750156180334,13.592125035455709
D86,11.02002986146664,11.67531177170897
D87,9.10992859255956,10.203780192447205
D88,8.980954061592385,7.942766887466955
D89,10.564710368102666,6.708003477263492
D90,7.29744244197231,8.577229978822759
D91,5.761644652250569,8.894129941965248
D92,6.338704227563521,10.325007808902814
D93,6.7332240353991555,11.678265831147232
D94,6.454767234344748,13.436372880576043
D95,24.07302491602541,16.90874816396242
D96,20.517925545032487,13.983319029252002
D97,19.953998548929093,11.239394742346988
D98,21.978535095320808,8.759317647567688
D99,23.777737967121034,6.7793434484790325
D100,26.097481118285813,4.126834750547562
D101,27.764242934187227,1.9066962129151221
D102,27.390823675096335,-1.7325139425870013
D103,26.709728397093656,-5.274330034792902
D104,27.962638296603593,-10.263331687607806
D105,18.50275365376377,7.332057005139223
D106,17.24887919002807,3.870000952416434
D107,14.53463827153429,3.3024024226516913
D108,18.668651818208964,0.6454049253710057
D109,19.561308093167863,-1.8224783888533498
D110,17.660912285055403,-4.0804211493682665
D111,16.113353671998553,-6.031589009494015
D112,13.111199458806926,-4.976648554098221
D113,16.634778883444,-8.056487590494818
D114,17.462751269763462,-9.957566575152754
D115,17.54141947350051,-12.830353011065503
D116,17.274775714282917,-15.582207803860962
D117,17.91583869422616,-19.94653282386787
D118,18.350944248834924,-24.313326283713007
D119,17.258796319162297,-26.783049171992815
D120,14.173427130687735,-17.227511665658167
D121,11.158199504459121,-15.773216269509998
D122,12.726429241125373,-19.33837595698184
D124,1.28682,-26.5418
D125,3.00912,-26.8361
D127,-3.202834401334446,-23.505686729721813
D128,-3.223809632072144,-18.096684869898954
D129,-5.252050892226521,-19.989888479637195
