D2,37.4944,-11.6911
D86,-14.317406729370681,-3.5117298768720993
T180,D76,D120
D87,-22.29362442475286,-17.739343837148795
D88,-23.126970231204474,-15.427481277315286
T181,D87,D88
T182,D88,D79
D89,-26.218760401965724,-6.754797334389381
T183,D89,D80
D90,26.291353163794227,-11.771120547086355
T184,D90,D51
D91,11.7081487623,-13.82275057589
T185,D110,D55
D92,10.440782567881765,-9.289835870577507
D93,7.514813195024488,-10.553964159706203
T186,D92,D56
T187,D93,D57
D94,-3.8100648416363168,-10.15684907362121
T188,D60,D116
D95,30.717533184004296,0.31303769732051556
T189,D95,D4
D96,27.447144432654788,1.8399702739334245
D97,25.96056304243627,2.512471379032279
T190,D96,D97
T191,D97,D23
D98,3.4523996502016177,-0.47357241857438126
T192,D31,D32
T193,D32,D98
D99,-7.522440495171043,-1.592568781867831
T194,D38,D99
D100,-17.154764197606703,9.481826007388692
T195,D48,D100
D101,17.43203107360497,15.457907635600959
T196,D101,D19
D102,6.35662798712279,12.794379305931342
D103,4.913954064125912,14.463759131113443
T197,D22,D102
T198,D22,D103
D104,15.764254375016266,23.322230654136344
D105,7.7408367933305176,25.32808504955778
T199,D11,D105
T200,D104,D10
D106,1.3527145737768365e-05,22.949719238191268
T201,D106,D13
D107,-1.52944,2.16881
T202,D107,D39
D108,-6.11441,6.79724
D109,-6.96186,8.2314
T203,D108,D109
T204,D109,D42
D110,13.4276,-11.5523
T205,D110,D91
D111,19.383599682264574,-26.724731197450563
D112,16.55515232950703,-26.724731197450563
D113,11.982055207758851,-26.724731197450563
D114,8.836398806093918,-26.724731197450563
D115,-0.7856090107635225,-21.411479628251804
D116,-3.4077500722229406,-13.084116229838699
T206,D111,D62
T207,D112,D63
T208,D113,D64
T209,D114,D65
T210,D115,D68
T211,D116,D94
D117,-15.228861090149769,-18.87926294354837
D118,-11.704962774567507,-13.809359499804875
D119,-14.752663486463133,-9.961380547235002
D120,-12.977745145449308,-5.242695201612882
T212,D117,D72
T213,D119,D76
T214,D120,D86
D121,3.8147937672183936,-10.859970596709138
T215,D121,D59
D122,19.6972559506211,3.002916107765362
D123,15.759472997447324,1.9556334074531883
T216,D122,D26
T217,D123,D27
D124,-9.539600783379937,24.160826875195124
D126,-10.419990304711883,25.745528013592626
D127,-12.356847251642165,20.81534669413373
T218,D124,D126
T219,D127,D17
T220,D124,D16
D128,2.91649,-8.88436
T221,D121,D128
D129,-17.7041,15.999
T222,D129,D49
R0,84,0
