D0,16.4507,-30.3876
D1,13.0556,-29.2135
D2,9.545844211924598,-28.445940679498364
D3,5.500137283120436,-27.39790112469075
D4,1.5765327849369815,-26.832603050338278
D5,7.1483563654064515,-22.0796472645936
D6,-0.9341491432946167,-24.386831509665768
D7,-3.1880983440787904,-22.11000351497374
D8,-4.243463312199348,-20.63398401376167
D9,3.896872929606639,-20.468078870620058
D10,-7.169310266159016,-21.704365716732397
D11,-9.868900680975964,-22.497555452501203
D12,-3.930169294551038,-17.460735687815713
D13,-3.897001040776325,-14.796452397504725
D14,-3.8983056431037237,-12.065763396754384
D15,-10.066641894435543,-17.58528374110622
D16,-13.306028372745672,-16.729041412946604
D17,-16.859314508324502,-16.196378054825878
D19,-9.651652822118617,-14.744892003532124
D22,-17.410991656888633,-14.01138395535246
D23,-17.400655305323788,-11.99226774780041
D24,-16.482864011465445,-9.5621378259095
D25,-19.70704076160098,-10.345138218157466
D26,-22.07332528746112,-8.66070634914822
D27,-24.081772198062687,-7.328148378764476
D28,-25.649478569057955,-5.999146840697557
D29,-28.554298178910706,-5.028648986639022
T0,Q1,D0
T1,D0,D1
T2,D1,M22
T3,D1,D2
T4,D2,D3
T5,D3,M21
T6,D3,M23
T7,D3,D4
T8,D4,D6
T10,D6,M91
T11,D5,D9
T12,D9,M61
T14,D6,M57
T15,D6,D7
T16,D7,D8
T17,D8,D10
T18,D10,M27
T19,D10,M52
T20,D10,D11
T21,D11,D15
T22,D15,D19
T24,D19,M24
T27,D19,M25
T28,D16,M58
T29,D8,D12
T30,D12,M26
T31,D12,D13
T32,D13,D14
T33,D14,M93
T34,D14,M76
T35,D12,M94
T36,D15,D16
T37,D16,D17
T38,D16,M68
T39,D17,D22
T40,D22,D23
T41,D22,M9
T42,D23,D24
T43,D24,M8
T44,D23,D25
T45,D25,D26
T46,D26,D27
T47,D27,D28
T48,D28,D29
T49,D29,M56
T50,D27,M78
T51,D27,M11
T52,D25,M10
D30,-13.03083367465637,-22.734763255694688
T53,D11,D30
T54,D30,M69
D31,2.8177709394004182,-14.098179313942284
D32,3.259576949614969,-11.987218961633527
D33,3.8107670721388227,-10.203889105321712
D34,2.543616835729515,-8.737302338862833
D35,1.344483284306968,-7.51865921587368
D36,1.2952670733430982,-6.217877891894727
D37,1.2424821269506512,-2.5241035536420027
D38,0.9512463670776928,0.3304098331025449
D39,-1.8845895789659786,-1.7221092082087481
D40,-4.16777554431436,-3.503855177101398
D41,-5.463144910611943,-5.014620170228318
D42,-8.238330263334754,-6.00389209270873
D43,-10.794510068273379,-7.508202687667936
D44,-15.312375283830288,-6.9967522504789565
D45,-17.42820488328233,-5.052377375648983
D46,-19.406868553806703,-2.9814734433474843
D47,-22.364902797204497,-1.0132845168075022
D48,-17.422724320082512,0.37210327964910483
D49,-18.2848514888058,2.6722512751836485
D50,-18.89669866951636,4.881034590810612
D51,-24.393172806870545,9.145879931557012
D52,-10.523631551613624,0.15476086919604537
D53,-16.271812585776118,7.497661984420706
D54,-13.71606616650078,8.400271966436012
D55,-11.730732842113596,9.264939443957038
D56,-10.079423259253504,10.915135626814983
D57,-8.272214313351203,12.904436168795497
D58,-10.462977649261418,13.998509837021313
D59,-12.836708163119392,15.089805378316795
D60,-15.452622102331686,16.221345914771696
D61,-13.595806817287718,10.122385940689199
D62,-15.256877689734404,12.007782386245209
D63,-16.90175543686428,13.790939462304898
D64,-18.64863473535788,15.060121563952668
D65,-20.3120080984697,16.132921489266206
D66,-22.34084018121184,16.204601462528846
T55,D2,D5
T228,D124,D74
T56,D31,D32
T57,D32,M47
T58,D32,M46
T59,D32,D33
T60,D33,D34
T61,D34,M44
T62,D34,D35
T63,D35,D36
T64,D36,D134
T65,D36,M70
T66,D37,M85
T67,D37,D38
T68,D38,D39
T69,D39,M83
T70,D39,D40
T71,D40,D41
T72,D41,D42
T73,D42,M90
T75,D42,D43
T76,D24,D44
T77,D44,D45
T78,D45,M2
T79,D43,M0
T80,D45,D46
T81,D46,D47
T82,D47,M71
T84,D127,M40
T85,D46,D48
T86,D48,D49
T87,D49,M3
T88,D49,D50
T89,D50,D51
T90,D51,M42
T91,D48,D125
T92,D52,M65
T93,D52,M63
T94,D50,D53
T95,D53,D54
T96,D54,M88
T97,D54,D55
T98,D55,D56
T99,D56,M80
T100,D56,M17
T101,D72,D57
T102,D55,D61
T103,D61,D62
T104,D59,D63
T105,D63,D64
T106,D64,D65
T107,D65,D66
T108,D66,M43
T109,D64,M41
T110,D62,M62
T111,D57,D58
T112,D58,M19
T113,D58,D59
T114,D59,D60
T115,D60,M79
D67,1.2684896443015017,2.6652062151932685
D68,1.7429369222318156,4.90389199025981
D69,1.5536510257799172,6.530106136916383
D70,0.5587620014576853,11.17719081180412
D71,-1.0767078513238895,11.687644464553047
D72,-5.156711864408243,12.977391885458179
D73,-6.976602917707033,15.005320259296443
D74,22.9031,-20.578
D75,18.434523010206103,-18.248138074639396
D76,12.85284248404368,-16.443523246279074
D77,18.554055283899505,-14.501737007629245
D78,18.759547610634634,-11.169463551681634
D79,25.457725585114655,-11.921389181518087
D80,18.126910532700073,-9.232795107133
D81,17.38566580083379,-7.639227355317837
D82,16.12384552034054,-6.616959065794397
D83,14.949960129397951,-5.764081406270407
D84,12.234466217380398,-4.951683718149825
D85,9.906132882800826,-4.526076847750488
D86,8.606137440128132,-4.587700526874612
D87,17.65477643761806,-4.75419649680263
D88,19.144615667697423,-2.7980520415882193
D89,23.19635181198003,-2.7877492573937293
D90,26.666544551709578,-2.70660443472854
D91,30.11174509432348,-2.8534735017632364
D92,18.65921741651429,1.8098655504150987
D93,19.730915460693897,4.688640703046967
D94,20.627113485488927,7.132245720518495
D95,18.099523251484584,8.687308337439168
D96,24.10002058116087,5.910224733928315
D97,27.280181138047354,4.478887785510391
D98,29.79697279021525,3.6350187511722982
D99,21.177496461608087,10.987624201177109
D100,21.159479211236288,13.673436723627708
D101,21.359047028444664,16.271499236386017
D102,21.506285855196094,18.94274838384069
D103,21.61594394634489,21.465464545535344
D104,16.29300550352213,2.9320718120530733
D105,13.759233963225862,4.06871820152464
D106,11.50748229678539,6.197055117245963
D107,9.335211534284785,8.337980571454288
D108,7.459146317035309,8.595913228475162
D109,8.488569302071154,11.625824382980644
D110,7.485124978345085,14.746252401016477
D111,8.529671109041763,17.539252380464976
D112,5.018491107238244,19.073820668902755
D113,2.3535069035084533,20.52103851416434
D114,0.41623254492343165,21.533100997500256
D115,9.211838992492348,19.982159678997654
D116,9.989580167876436,22.210852184336783
D117,12.651987867932565,22.553973829861715
D118,-1.2686845818097208,22.433044315738293
D119,-4.443035403623805,24.150794767328513
D120,-2.1918649025714334,30.33368058455678
D121,-7.1748086773213195,25.737151518033272
D122,-9.767293191427212,27.172509972533483
D123,-13.34930504310293,29.02800758827341
T116,D38,D67
T117,D67,M13
T118,D67,M12
T119,D67,D68
T120,D68,D69
T121,D129,M15
T122,D69,M14
T123,D69,D128
T124,D70,D71
T125,D131,M82
T126,D71,M16
T127,D71,D130
T128,D72,D73
T129,D73,M18
T130,Q1,D124
T131,D74,M53
T132,D135,M84
T133,D74,D75
T134,D75,D135
T135,D76,M77
T136,D76,M20
T137,D75,D77
T138,D77,M49
T139,D77,M30
T140,D77,D78
T141,D78,D79
T143,D79,M31
T144,D78,D80
T145,D80,D81
T146,D80,M60
T147,D81,D82
T148,D82,D83
T149,D83,D84
T150,D84,M38
T151,D84,M72
T152,D87,M67
T153,D82,D87
T154,D87,M28
T155,D87,D88
T156,D84,D85
T157,D85,D86
T158,D86,M36
T159,D88,D89
T160,D89,M66
T161,D89,M29
T162,D89,D90
T163,D90,D91
T164,D91,M59
T165,D88,D92
T166,D92,D93
T167,D93,M74
T168,D93,M87
T169,D93,D94
T170,D94,D95
T171,D95,M4
T172,D94,D96
T173,D96,M6
T174,D96,D97
T175,D97,D98
T176,D98,M86
T177,D94,D99
T178,D99,D100
T179,D100,D101
T180,D101,D102
T181,D102,D103
T182,D103,M50
T183,D101,M5
T184,D99,M7
T185,D92,D104
T186,D104,M39
T187,D104,D105
T188,D105,D106
T190,D106,M64
T191,D106,M37
T193,D107,D108
T194,D108,M55
T195,D106,D107
T196,D107,D109
T197,D109,M95
T198,D109,M48
T199,D109,D110
T200,D110,D111
T201,D111,D115
T202,D115,M81
T203,D115,D116
T204,D116,D117
T206,D132,M54
T209,D117,M75
T210,D111,D112
T211,D112,M51
T212,D112,M73
T213,D112,D113
T214,D113,D114
T215,D114,M33
T216,D114,D118
T217,D119,D120
T218,D120,M35
T219,D120,M34
T220,D118,D133
T221,D119,D121
T222,D133,M32
T223,D121,M92
T224,D121,D122
T225,D122,D123
T226,D123,M89
D124,26.9557,-22.7368
T227,D5,D31
D125,-14.954998648288537,0.15248039342013797
D126,-12.705116047782248,-0.13796428023798057
T229,D86,M45
T230,D125,D126
T231,D126,D52
T232,D125,M1
D127,-25.777707892962045,0.9377510517841614
T233,D47,D127
D128,1.28773292131766,7.968484747268748
D129,0.9496191973483761,9.552516071032144
T234,D128,D129
T235,D129,D70
D130,-2.4692069099182206,12.142035921134154
D131,-3.9430784806047514,12.554215115565437
T236,D130,D131
T237,D131,D72
D132,8.314898473703167,24.75562990901279
T238,D116,D132
D133,-2.8777968161699423,23.277912155836532
T239,D133,D119
D134,1.2884564293274952,-4.681330199134071
T240,D134,D37
D135,15.7069,-17.3586
T241,D135,D76
R0,0,0
