D0,-22.86162553776564,27.967135522069192
D1,-20.481047570366044,27.308677786405475
D2,-17.5939636524559,26.447617670537532
D3,-15.162735090005253,25.63720814972065
D4,-13.187361883014098,25.1307021992101
D5,-9.489868444287072,23.864437322933718
D6,-8.071651782857526,27.055424811150196
D7,-4.931314889692107,28.37234028247763
D8,-5.589772625355824,26.346316480435426
D9,-5.0326160797942165,21.23060638027885
D10,-6.045627980815318,18.191570677215537
D11,0.4882987807707977,15.861643304867004
D12,-0.018207169739753226,13.075860577058966
D13,-0.37276133509713816,10.897884989863595
D14,-0.6260143103524172,8.466656427412946
D15,-2.753339302496734,21.889064115942567
D16,-0.4740625251992512,22.851425421912616
D17,1.8548091851111996,21.605940033918507
D18,4.12364899007688,20.45716038583462
D19,5.904257444606907,21.979293419545776
D20,7.914621828753713,23.530145944459022
D21,10.930168404973921,23.61630441806531
D22,13.94571498119413,23.41526797965063
D23,16.3294327509682,21.14642817468495
D24,18.339797135115006,18.762710404910884
D25,18.3972361175192,25.25331541658485
D26,20.264003045655517,16.350273143934714
D27,10.413217563336172,19.10734429933605
D28,9.315010758868354,15.492454096986627
D29,7.533063236036877,11.063041683091246
D30,6.15841800413831,8.364664005660725
D31,9.620487477068036,10.808477751258177
D32,12.567179403493462,15.74716382869067
D33,14.57754378764027,12.932653690885143
D34,17.392053925445797,9.05552237860202
D35,19.689613221613573,12.903934199683047
D36,22.73387928903588,10.893569815536242
D37,-30.19747437616463,18.765809307723927
D38,-27.672643225863872,18.699366382716015
D39,-25.796665693582582,16.952921470509267
D40,-23.95183942542065,14.978562582272788
D41,-22.423652150238613,13.118160682051178
D42,-20.549594770846884,10.391780085705399
D43,-17.20176008747762,9.722213149031546
D44,-14.300303361890926,9.275835191248976
D45,-12.291602551869367,7.758150134788245
D46,-10.729279699630379,6.508291852997051
D47,-7.961736361378453,4.856693409201547
D48,-7.470720607817629,7.13322099389265
D49,-29.968169680059084,15.078748642422367
D50,-29.789618496946055,12.355843099948698
D51,-27.334539729141927,9.186559599692464
D52,-25.682941285346423,6.686843036110078
D53,-24.388445207776975,4.499591042975494
D54,-21.75481525685982,0.259000444041094
D55,-22.37974439775542,-1.8389759575369773
D56,-23.272500313320556,-3.892314563336793
D57,-18.585531756603586,-0.09810192218496283
D58,-15.193059277456065,-0.6337554715240437
D59,-12.836513637343323,-0.6916467473724062
D60,-10.66476509389246,-0.6248237152662268
D61,-8.493016550441599,-1.0925849400094894
D62,-6.605265893442006,-1.6104634388323866
D63,-4.266459769725694,-0.6749409893458616
D64,-2.4455321448322804,-0.07353370039023943
D65,0.4779755098131089,-0.34082582881496126
D66,2.198668586547252,1.379867247919182
D67,-1.1591887767883096,-3.431391063725801
D68,1.9480822161490758,-1.3097597943545765
D69,3.267837100246137,-2.2452822438411006
D70,5.105470483166096,-2.228576485814556
D71,6.659105979634788,-2.345516792000371
D72,8.592338487883337,-2.9652266374359986
D73,10.501430325740156,-3.581742885964707
D74,13.01802765440227,-2.4192673026543154
D75,12.30382292195016,1.1071185638279744
D90,-2.7760893128960085,-7.238047467084209
D91,-1.5920867925893294,-9.572223864260234
D92,-25.475109059346906,-5.208328860844183
D93,-20.468469830621522,-5.884901729590858
D94,-18.269608007194833,-7.2042188236468725
D95,-16.37520397470415,-6.18935952052686
D96,-13.83805571690412,-6.8321037458362
D97,-11.199421528792094,-7.677819831769542
D98,-10.184562225672082,-11.50045654018825
D99,-8.493130053805398,-8.252906770204214
D100,-18.946180875941508,-10.079653515820235
D101,-19.622753744688183,-12.819773634244264
D102,-15.529487888770804,-15.018635457670953
D103,-14.785257733149466,-17.52195507203364
D104,-14.142513507840127,-19.61933096514833
D105,-10.556677303482754,-19.450187747961664
D106,-7.444442107248054,-19.145729957025658
D107,-5.347066214133367,-18.60447166202832
D108,-2.4039742350853324,-17.89407014984431
D109,0.20083130958936124,-18.70595759234032
D110,2.1967212723920504,-19.72081689546033
D111,3.414552436136063,-18.198527940780316
D112,4.158782591757404,-16.5747530557883
D113,3.414552436136063,-14.680349023297612
D114,4.6662122433174105,-22.596251587633695
D115,7.406332361741438,-25.708486783868395
D116,12.412971590466826,-27.501404886047077
D117,-13.817413485265282,-21.79660510298661
D118,-13.575780014214882,-23.52831164551448
D119,-10.635906116435006,-24.897567981466754
D120,-7.575215483129931,-25.82382962049329
D121,-3.8298966818487195,-27.072269220920358
D122,1.043044984334358,-29.085881479673695
D123,3.781557656238899,-28.884520253798364
T0,Q1,D0
T1,D0,D1
T2,D1,M42
T3,D1,D2
T4,D2,D3
T5,D3,D4
T6,D3,M41
T7,D4,D5
T11,D5,D6
T12,D6,M43
T13,D5,D8
T14,D8,M79
T15,D5,D7
T16,D7,D7
T17,D7,M89
T18,D5,D9
T19,D9,D10
T20,D10,M62
T21,D10,M80
T22,D9,D11
T23,D11,D12
T24,D12,M16
T25,D12,M17
T26,D12,D13
T27,D13,D14
T28,D14,M14
T29,D9,D15
T30,D15,D15
T31,D15,D16
T32,D15,M19
T33,D16,D17
T34,D17,D18
T35,D17,M18
T36,D18,D19
T37,D19,D20
T38,D19,M32
T39,D19,M92
T40,D20,D21
T41,D21,D22
T42,D22,D25
T43,D25,M34
T44,D21,M35
T45,D22,D23
T46,D23,D24
T47,D24,D26
T48,D23,M54
T49,D26,M75
T50,D21,D21
T51,D20,D27
T52,D27,D32
T53,D32,D33
T54,D32,M51
T55,D21,M33
T56,D33,D35
T57,D35,D36
T58,D36,M5
T59,D36,M50
T60,D33,D34
T61,D34,M48
T62,D34,M81
T63,D27,D28
T64,D28,D29
T65,D28,M73
T66,D28,M82
T67,D29,D31
T68,D31,M95
T69,D29,D30
T70,D30,M15
T71,Q1,D37
T72,D37,D38
T73,D38,D39
T74,D39,D40
T75,D39,M40
T76,D40,D41
T77,D41,D42
T78,D41,M71
T79,D42,D43
T80,D43,D44
T81,D43,M2
T82,D43,M3
T83,D44,D45
T84,D45,D46
T85,D45,M1
T86,D46,D47
T87,D47,D48
T88,D48,M88
T89,D48,M63
T90,D37,D49
T91,D49,D50
T92,D49,M56
T93,D50,D51
T94,D51,D52
T95,D51,M11
T96,D51,M78
T97,D52,D52
T98,D52,D53
T99,D53,M8
T100,D53,M10
T101,D53,D54
T102,D54,D57
T103,D57,M25
T104,D57,M0
T105,D57,D58
T106,D58,D59
T108,D59,M90
T109,D59,D60
T110,D60,D61
T111,D61,M76
T112,D61,M65
T113,D61,D62
T114,D62,D63
T115,D63,D64
T116,D63,M70
T117,D63,M83
T118,D64,D65
T119,D65,D67
T120,D67,D90
T121,D90,D91
T122,D65,D66
T123,D65,D68
T124,D68,D69
T125,D69,D70
T126,D70,D71
T127,D71,D72
T128,D72,D73
T129,D67,M44
