D1,-14.109036182807223,27.44485428565702
D2,-9.779960050630464,27.1442239987003
D3,-6.232522664541172,26.843593711743583
D4,-4.007858541061445,28.466997261309867
D5,-5.450883918453705,24.739181703046544
D6,-4.669245172366232,22.935399981306222
D7,-2.9857155654086043,22.093635177827412
D8,-1.3021859584509698,21.071492202174564
D9,2.9667641163344562,23.175904210871597
D10,6.694579674597776,25.099938047394605
D11,9.640756486773633,27.204350056091638
D12,-0.7009253845375234,19.267710480434243
D13,-0.4604211549721491,17.46392875869392
D14,1.2231084519854818,17.403802701302578
D15,2.606007771986391,17.403802701302578
D16,4.5300416085094,17.82468510304199
D17,6.153445158075684,18.125315389998708
D18,-0.7005087272372563,16.174750327783553
D19,-0.9406769582466215,14.65368486472424
D20,-1.1007891122528655,12.73233901664932
D21,-1.2342159072580685,11.131217476586883
D22,-1.3676427022632716,9.55678129552549
D23,9.881260716339007,19.929097111739022
D24,8.678739568512128,14.998760405648824
D25,11.384412151122604,14.397499831735384
D26,13.909706561559048,13.736113200430601
D27,7.65659659285928,13.194978683908506
D28,19.741934128519418,15.78039915173629
D29,14.33058896329846,10.54943215868937
D30,14.450841078081151,7.543129289122174
D31,12.586933298949486,7.964011690861582
D32,16.675505201560874,7.001994772600078
D33,18.53941298069254,6.2804820839039515
D34,21.605841907651076,8.324768035209644
D35,21.605841907651076,3.5748095012934726
D36,23.77037997373946,1.3501453778137495
D37,26.59630467113262,-0.4536363439265685
D38,-26.6753821775981,28.827753605657925
D39,-22.947566619334776,21.973383063044714
D40,-19.881137692376235,21.973383063044714
D41,-15.972943961938878,21.973383063044714
D42,-12.545758690632276,19.387962595216926
D43,-9.8400861080218,17.52405481608527
D44,-8.517312845412235,15.660147036953605
D45,-31.42534071151427,17.223424529128543
D46,-31.545592826296957,12.954474454343126
D47,-31.545592826296957,9.046280723905772
D48,-27.817777268033634,8.08426380564427
D49,-24.450718054118372,7.122246887382772
D50,-20.72290249585505,5.9197257395558935
D51,-20.001389807158922,8.565272264775025
D52,-18.94971538814549,5.35103225773933
D53,-17.235787557760474,4.747983576677935
D54,-14.379241173785447,4.113195491350153
D55,-12.28444049220376,3.6053650230879253
D56,-11.692743537300021,2.3687761792391013
D57,-10.139825774417744,2.1854456100099435
D58,-8.468282349093071,2.0560357964364204
D59,-6.888741766917603,2.4310070652315243
D60,-5.492207979196479,2.7484011078954165
D61,-3.5561043189467387,1.0662126817767899
D62,-1.4930430416314415,-0.07640587181322012
D63,-1.7230683601903607,-2.1972920082755394
D64,-2.023698647147082,-5.44409910740811
D65,-2.5651518384903946,-8.375366768564101
D66,5.612310641553602,9.346911010862499
D67,-0.8393029634396658,2.693775903657828
D68,0.4649351582823824,-1.4456225448751407
D69,1.9811487378869614,-2.3856749642299793
D70,3.254768144754806,-3.2954031119927265
D71,4.376766193662194,-3.992861358610833
D72,6.105249674411414,-4.9329137779656715
D73,7.955030241529,-6.0245875552809665
D74,10.056830775803197,-6.55768824986993
D75,11.504664265905308,-7.187754771757088
D76,11.083781864165903,-9.65292312480219
D77,10.362269175469773,-12.71935205176073
D78,11.384412151122621,-15.064268290023147
D79,12.40655512677547,-16.747797896980778
D80,12.827437528514874,-19.814226823939318
D81,12.947689643297561,-21.9787648900277
D82,10.903403691991866,-23.96292478394205
D83,15.833740398082075,-19.333218364808566
D84,13.12555545635243,-7.848921004487515
D85,14.847974082783233,-8.624009386381378
D86,16.52733224355326,-9.269916371292926
D87,18.249750869984062,-9.872762890543708
D88,20.531955550004874,-10.820093135080647
D89,22.943341627007996,-12.28414896754683
D90,26.345118414208827,-13.403721074726851
D91,-32.26710551499308,2.973548927380044
D92,-26.87508064353538,3.199803160770026
