D0,-28.907276940524195,2.2751363911290383
D1,-26.1217,10.627
D2,-22.3319,14.0592
D3,-19.90378675830027,18.932468039477122
D4,-16.397250168810153,20.781369150299184
D5,-18.111232819410116,13.661111417143609
D6,-12.928477379316783,20.278440220148287
D7,-9.766708254137939,19.76128577881115
D8,-8.045317564751882,19.18748888234913
D9,-14.533471327881108,14.268499210457863
D10,-6.89772377182784,20.97263478245319
D11,-5.303843503877792,23.07655673614726
D12,-6.897723771827847,16.38225961075704
D13,-5.686374768185809,13.895806392754961
D14,-3.7737184466457467,11.664374017624885
D15,-1.5422860715156745,20.143817043119164
D16,1.5817192536664293,21.355166046761205
D17,4.7694797895665335,23.01280152542926
D18,-2.179838178695695,18.1036503001431
D19,-0.7772235428996468,17.211077350091067
D20,0.4341254607423949,16.190993978603032
D21,1.1991879893584154,18.35867114301511
D22,5.9808287932085715,21.546431678915212
D23,7.064667375414606,19.952551410965164
D24,8.276016379056646,17.274832560809074
D25,10.698714386340725,20.080061832401164
D26,13.312678025778808,20.080061832401164
D27,15.671620822344885,20.20757225383717
D28,17.83929798675696,20.20757225383717
D29,20.70828246906705,20.781369150299184
T0,Q1,D0
T1,D74,D1
T2,D1,M22
T3,D1,D2
T4,D2,D3
T5,D3,M21
T6,D3,M23
T7,D3,D4
T8,D4,D6
T10,D6,M91
T11,D5,D9
T12,D9,M61
T14,D6,M57
T15,D6,D7
T16,D7,D8
T17,D8,D10
T18,D10,M27
T19,D10,M52
T20,D10,D11
T21,D11,D15
T22,D15,D18
T23,D18,D19
T24,D19,M24
T25,D19,D20
T26,D20,D21
T27,D21,M25
T28,D21,M58
T29,D8,D12
T30,D12,M26
T31,D12,D13
T32,D13,D14
T33,D14,M93
T34,D14,M76
T35,D12,M94
T36,D15,D16
T37,D16,D17
T38,D16,M68
T39,D17,D22
T40,D22,D23
T41,D22,M9
T42,D23,D24
T43,D24,M8
T44,D23,D25
T45,D25,D26
T46,D26,D27
T47,D27,D28
T48,D28,D29
T49,D29,M56
T50,D27,M78
T51,D27,M11
T52,D25,M10
D30,4.684078049395177,25.337192943548402
T53,D17,D30
T54,D30,M69
D31,-11.801339248463506,9.940543185809048
D32,-10.281396594083303,8.001875984326226
D33,-8.774323095123885,5.805124782453177
D34,-6.909638935394433,5.421970503056716
D35,-5.172672868797138,5.140990698165977
D36,-3.793317462969874,3.0719575894250815
D38,-0.3025574326466426,-0.4897677533168636
D39,0.7122204284847107,2.732571299945021
D40,1.3267398566372033,5.467182755223614
D41,1.8696398360269337,7.7736188312955345
D42,3.354653969540429,10.444790123258805
D43,4.706596711475914,13.148675607129775
D44,8.90664393311819,14.621463217026536
D45,11.348863079840356,14.36706538924298
D46,13.587563964335672,14.11266756145942
D47,16.4917,13.4082
D48,13.892841357675945,9.635265792468784
D49,16.487699201068246,8.363276653550988
D51,29.8477,5.0536
D52,9.262800892015175,6.124575769055664
D54,12.605155275469915,2.0260644267039453
