D0,-25.73842644933663,27.569296811914676
D9,-16.76708946776662,15.038697249725761
D10,-15.239072789616882,11.841060743154195
D11,-8.399701431843711,14.02268068896634
D12,-7.273508278079351,11.882569956861552
D13,-5.991957301465485,9.079361022682168
D14,-5.069506725688983,7.226982187144267
D15,-13.955649290495614,17.324561270252005
D16,-11.564419647955242,19.17341985827352
D17,-9.29732976851508,19.32906827832949
D18,-7.593458738127669,19.56624263244256
D19,-6.424288728401601,21.794242683002537
D20,-5.208813056349161,23.74972312240233
D21,-2.4689574597261994,25.38342685116372
D22,0.27089813689674924,27.01713057992511
D23,4.080061659077181,26.32880495051321
D24,7.091684320384418,25.404980547002957
D25,2.2963806372383915,30.041683334280584
D26,10.058780839658818,24.28829223350252
D27,-0.9621370845093603,21.467412864485734
D28,-0.4613472508226991,17.622791102885078
D29,-0.05250374247323694,13.19799329032118
D30,0.40471192809859324,10.523952664096608
D31,1.8236353417029156,13.990982492655249
D32,2.789480725765405,19.72241909359745
D33,6.193199300879229,18.417149300664864
D34,8.411626185944337,17.374586341601972
D35,10.567111983126944,21.07192522150344
D36,15.166117385545954,20.73343219549335
D41,-24.367901571609316,-0.7578940573881905
D42,-22.10719986629955,-1.6173446524716333
D43,-18.887978960885288,-0.5075082339983492
D44,-15.617701632824351,0.6060102498737336
D45,-13.41222697672873,0.09683630544766508
D46,-11.319867819041171,-0.537724611317028
D47,-8.487396620616513,-0.9559827355546893
D48,-9.859088941905734,2.2897310844331553
D51,-25.575622305554823,-3.5605620173072836
D52,-25.05072553933031,-7.248982207648767
D53,-22.64043562695256,-8.995020378987164
D54,-19.854329201838055,-10.864931283107534
D55,-17.917754082674204,-13.337183768072288
D56,-16.1290819415561,-15.823508228848405
D57,-16.011848233431948,-9.456373574325264
D58,-12.93141179443456,-7.998578239435651
D59,-10.530428959639305,-6.880429913066368
D60,-8.465359716716517,-5.9721836951479625
D61,-6.549181218586936,-5.36928155240859
D62,-4.999453911590952,-4.99536352797927
D63,-3.4915602060965756,-2.99159290560483
D64,-3.2606999999999995,2.55601
D65,0.7920644156874544,-0.25787345318501065
D66,1.203039184827627,2.4178299158375536
D67,0.6981193262389432,-3.7097529849168884
D68,2.501429371562368,0.07114864826996758
D69,4.0809224794048715,0.2854220090000721
D70,5.738985035858085,1.0191322551537576
D71,7.31549897827453,1.6682894684915877
D72,9.175867727047558,2.0244776057234706
D73,10.87016008232099,2.64644352993137
D74,12.486085015807923,4.899230214756497
D75,9.741810703387085,7.472093354037206
D90,0.9719645366109039,-7.331334141380028
D91,3.31507,-9.23741
D92,-17.601164073323744,-16.978411423159972
D93,-13.818981088880147,-15.63356600180024
D94,-12.037079918020197,-15.225243132028375
D95,-10.853738308033083,-13.859024729304066
D96,-8.790103156893004,-13.274654929863718
D97,-5.817912727356104,-12.514297093565457
D98,-2.9305075095507678,-14.627449177692842
D99,-2.6555444995287956,-11.556754917476379
D100,-11.096796781089665,-18.325973304198275
D101,-10.117348145968492,-22.747924767832927
D102,-5.234072963210813,-20.219323927755752
D103,-3.7121431698149627,-22.181725846304307
D104,-2.0766079145390637,-24.05721749965619
D105,1.212279573537114,-21.917601770736105
D106,3.160320249572497,-20.564728440618506
D107,6.21557,-15.234
D109,9.40573,-15.5329
D110,12.688255007322173,-15.587351414319695
D111,12.7260118603657,-13.854197221794452
D112,12.613494946685336,-12.044152099311768
D113,10.873573273432473,-10.78299117701498
D114,17.20679264878853,-16.96684969425536
D115,21.60649685181846,-17.911558254949057
D116,26.594424534952868,-16.718686821756684
D117,-0.6893835267040608,-25.57753652897381
D118,0.7593042420807151,-27.02343320554251
D119,3.853033978110967,-26.521383340526448
D120,10.751188860911094,-24.80059620499581
D121,13.753015237069539,-24.424122839097322
D122,16.515903122819438,-24.265103719042795
D123,18.534601750601905,-22.697010737917303
T0,Q1,D0
T1,D0,D1
T2,D1,D2
T3,D2,D3
T4,D3,D4
T5,D4,D9
T6,D4,D5
T7,D5,D6
T8,D6,D7
T9,D7,D8
T10,D8,D37
T11,D37,D38
T12,D38,D39
T13,D39,D51
T14,D1,M89
T15,D3,M43
T16,D3,M79
T17,D5,M41
T18,D7,M42
T19,D9,D10
T20,D10,M62
T21,D10,M80
