D2,-22.643,26.09
D72,-5.39908,-14.3625
D73,-6.63775,-12.299148
D74,-6.89216,-6.099148
D75,0.8402443,-2.5997606659724
D76,2.70846,-4.42841
D77,7.7216,-9.01563
D78,9.16333,-9.44259
D79,10.55672008324662,-6.481769719042656
D80,13.446509885535903,-3.3106729448491077
D81,8.893368366285124,-10.629823829344428
D82,8.41453902185224,-17.542747866805406
D83,10.736120707596257,-15.584787408949007
D84,13.87241311134235,-16.223946618106133
D85,17.557,-16.91
T0,Q1,D2
T1,D2,D39
T2,D86,D40
T3,D40,D41
T4,D41,D48
T5,D48,D91
T6,D49,D92
T7,D50,D51
T8,D51,D52
T9,D52,D93
T10,D51,D54
T11,D54,D55
T12,D55,D56
T13,D56,D57
T14,D57,D94
T15,D58,D95
T16,D59,D60
T17,D60,D61
T18,D61,D97
T19,D62,D98
T21,D57,D65
T22,D65,D66
T23,D95,D71
T24,D71,D72
T26,D72,D73
T27,D74,D67
T28,D75,D76
T29,D76,D103
T30,D77,D78
T31,D78,D81
T32,D81,D105
T34,D83,D84
T35,D84,D85
T36,D78,D79
T37,D79,D104
T38,D66,D74
T39,D67,D101
T40,D123,D69
T41,D69,D70
T42,D41,D87
T43,D42,D88
T44,D43,D89
T45,D44,D45
T46,D45,D46
T47,D46,D90
T48,D2,D107
T49,D3,D4
T50,D4,D5
T51,D5,D6
T52,D6,D7
T53,D7,D109
T54,D8,D119
T55,D120,D10
T56,D121,D11
T57,D4,D12
T58,D12,D13
T59,D13,D14
T60,D13,D15
T61,D15,D16
T62,D16,D17
T63,D17,D24
T64,D17,D19
T65,D19,D18
T66,D20,D110
T67,D111,D22
T68,D111,D23
T71,D25,D26
T72,D24,D27
T73,D25,D28
T74,D28,D29
T75,D29,D112
T76,D30,D31
T77,D31,D32
T78,D32,D33
T79,D33,D34
T80,D34,D113
T81,D35,D114
T82,D36,D37
T83,D37,D38
T84,D39,M11
T85,D40,M10
T86,D48,M69
T87,D49,M68
T88,D50,M52
T89,D50,M27
T90,D52,M57
T91,D52,M91
T92,D53,M23
T93,D53,M21
T94,D54,M26
T95,D56,M61
T96,D56,M94
T97,D58,M20
T98,D59,M84
T99,D59,M49
T100,D96,M22
T101,D61,M53
T102,D62,M30
T103,D62,M31
T104,D63,M59
T105,D64,M29
T106,D64,M28
T107,D65,M47
T108,D58,M77
T109,D72,M60
T110,D72,M72
T111,D73,M45
T112,D74,M44
T113,D115,M38
T114,D76,M36
T115,D77,M37
T116,D77,M39
T117,D82,M67
T118,D82,M66
T119,D83,M87
T120,D106,M86
T121,D85,M6
T122,D81,M74
T123,D79,M64
T124,D80,M48
T125,D79,M55
T126,D101,M93
T127,D68,M70
T128,D68,M85
T129,D70,M12
T130,D70,M13
T131,D42,M9
T132,D43,M58
T133,D44,M0
T134,D44,M25
T135,D46,M24
T136,D47,M76
T137,D47,M65
T138,D3,M56
T139,D5,M78
T140,D7,M8
T141,D8,M2
T142,D118,M3
T143,D9,M1
T144,D9,M90
T145,D122,M88
T146,D121,M63
T147,D11,M83
T148,D12,M71
T149,D12,M40
T150,D14,M42
T151,D15,M62
T152,D15,M41
T153,D108,M43
T154,D19,M19
T155,D19,M80
T156,D20,M17
T157,D21,M16
T158,D21,M82
T159,D22,M14
T160,D22,M15
T161,D23,M95
T162,D23,M73
T163,D24,M79
T164,D26,M18
T165,D26,M32
T166,D28,M92
T167,D28,M89
T168,D30,M35
T169,D30,M34
T170,D32,M33
T171,D32,M51
T172,D34,M54
T173,D34,M75
T174,D35,M81
T175,D36,M50
T176,D36,M5
T177,D38,M4
T178,D38,M7
T179,D65,M46
D86,-24.461861541684122,20.978078382907434
T180,D39,D86
D87,-24.300370447450575,11.10471103017691
D88,-20.84796670135276,10.989630905306983
D89,-17.203762747138402,10.951270863683673
T181,D87,D42
T182,D88,D43
T183,D89,D44
D90,-10.272376832844573,5.688660703812328
T184,D90,D47
D91,-27.32159209157128,5.424278147762758
T185,D91,D49
D92,-24.454735441977377,1.1131768328445864
T186,D92,D50
D93,-22.547831378299122,-9.289169208211135
T187,D93,D53
D94,-10.636062421449518,-14.485842857142856
D95,-10.465136573104314,-18.656433556765812
D96,-13.815283200670297,-25.39091198156682
T188,D94,D58
T189,D95,D59
T190,D60,D96
D97,-7.641173777315293,-28.594735379812697
T191,D97,D62
D98,-2.27526,-26.2227
T192,D98,D64
T193,D98,D63
D101,-5.643120707596255,-3.798789490114455
D102,-4.271749219562956,-3.2845251821019676
T195,D101,D102
T196,D102,D68
D103,4.47784599373,-6.13223
T197,D103,D115
D104,11.996342351716965,-4.8755678459937535
T198,D104,D80
D105,8.587175953079178,-15.115151612903222
T199,D105,D82
T200,D105,D83
D106,17.975064516129038,-23.236441935483867
T201,D84,D106
D107,-18.545206035379817,24.62420322580647
T202,D107,D3
D109,-8.95676,16.1301
T203,D109,D8
D108,6.246722164412075,22.77225733610823
T204,D16,D108
T205,D18,D20
D110,9.074214076246333,11.486138709677432
T206,D110,D21
D111,10.412155046826225,6.358829656607711
T207,D21,D111
D112,21.127986594051116,15.662812358609152
T208,D112,D30
D113,25.778297653958944,-0.3267226225387425
D114,25.871804147465436,-3.7552940511101713
T209,D113,D35
T210,D114,D36
T211,D27,D25
T212,D69,D75
D115,5.13313,-7.63946
D116,6.05058,-8.81904
T213,D115,D116
T214,D116,D77
D118,-6.66245,17.0952
T216,D109,D118
D119,-6.48057,13.6894
T217,D119,D9
D120,-3.91748,10.5575
T218,D9,D120
D121,-1.39563,7.82993
T219,D10,D121
D122,-0.722382,11.1463
T220,D10,D122
D123,-3.81291,2.19156
D124,-6.41205,2.65708
T221,D47,D124
T222,D124,D123
R0,66,0
