D2,-22.643,26.09
D3,-16.14500936524454,23.84768709677421
D4,-10.993,22.415
D5,-11.057501466275664,20.71296736489319
D6,-11.134719731881026,18.241982865521592
D7,-10.0146,17.1453
D8,-7.58375,14.92
D9,-5.2083,12.2184
D10,-1.5203,9.67512
D11,-3.3655,7.032
D12,-7.3952955254942765,22.178939375650387
D13,-4.423990634755464,22.121798896982334
D14,-2.9097679500520304,26.378764557752366
D15,-1.4774505723204987,22.10460280957337
D16,2.924364203954214,21.961951404786692
D17,7.6359987431922915,20.619812777545054
D18,8.375083368244661,15.156670758273993
D19,7.968028487641387,18.410696732299975
D20,8.66696670135276,13.100357232049952
D21,9.523243192291583,9.746390071219116
D22,9.24051612903226,4.102604890738821
D23,12.502718002081169,4.622063787721131
D24,8.99786,20.0656
D25,14.757,19.615
D26,14.757,15.815
D27,10.157,19.615
D28,17.096782153330544,19.654886091328038
D29,19.207,19.615
D30,22.428820276497696,12.87279979053206
D31,23.903206535400084,10.339879807289496
D32,24.81298764139087,7.6126322161709385
D33,25.872432551319655,4.6822090909091045
D34,25.76826832844575,2.078103519061596
D35,25.824708420611653,-2.1403715542521873
D36,25.870154587348143,-6.1850803937997405
D37,26.00649308755761,-9.775327565982396
D38,23.27972308336825,-12.138528236279841
D39,-23.56506011730206,23.651710557184764
D40,-25.393,18.09
D41,-26.59883870967741,11.075041935483883
D42,-22.669035379812698,11.074317689906358
D43,-19.16748283038502,10.998196982310105
D44,-14.784264308012489,9.335129344432897
D45,-12.608530697190428,7.752777627471397
D46,-11.399789802289282,6.763807804370459
D47,-8.856023933402703,4.605256295525505
D48,-27.066400712191037,7.959511143695027
D49,-26.131141519250775,3.6107921956295623
D50,-23.09550364203954,-0.9854200832466091
D51,-21.61017741935484,-3.253676958525338
D52,-22.074313364055307,-6.248976497695846
D53,-23.039287180561377,-11.481192668621691
D54,-19.592812526183497,-4.169336782572259
D55,-17.061582949308757,-5.322432718893998
D56,-14.84738940092166,-6.271372811059896
D57,-10.990400624349636,-7.803018418314249
D58,-10.518,-16.285
D59,-10.4684,-21.0346
D60,-10.518,-24.3346
D61,-9.211385015608737,-26.293008012486993
D62,-4.67344,-27.2965
D63,3.02221,-27.1533
D64,-0.1643433,-24.7909
D65,-9.22553277835588,-7.906260874089481
D66,-6.95747,-7.99989
D67,-7.0008376690946905,-4.3137031217481745
D68,-2.732714880332985,-2.6179195629552474
D69,-0.38751716961498417,-1.5891661810613869
D70,1.6439667013527597,-0.7700194588969751
D71,-6.570624633431084,-16.980254252199405
